BDAP,NORD-EST,ISOLE,NORD-OVEST,SUD,CENTRO
184542930473060602,1,0,0,0,0
184542930521086801,0,0,1,0,0
184642930462171501,1,0,0,0,0
184642930524539701,0,0,1,0,0
184742929839739802,0,1,0,0,0
184842929021081301,0,0,0,1,0
184842930463990202,0,1,0,0,0
185242930475044302,0,0,1,0,0
185242930508862201,1,0,0,0,0
185242930549979501,0,0,1,0,0
185342930472893601,0,1,0,0,0
185342930542156801,0,0,1,0,0
185442930539869301,0,0,0,0,1
185642930527158702,0,0,0,0,1
185742930316791302,0,0,0,1,0
185742930531538401,0,0,0,1,0
185942930529803701,0,0,0,0,1
186242930525209502,0,0,1,0,0
186342930457277601,0,0,1,0,0
186342930526904701,0,0,1,0,0
186442930519296301,0,0,0,1,0
186442930549950901,1,0,0,0,0
186542930507655802,0,0,1,0,0
186742930451038602,0,0,1,0,0
186842930478135802,0,0,1,0,0
187042930475738102,0,0,1,0,0
187242930521653902,0,0,0,1,0
187442930519530002,0,0,1,0,0
187642930455584402,0,0,1,0,0
187642930527571602,0,0,1,0,0
187742930446810702,0,0,0,0,1
187742930459631002,0,0,1,0,0
187742930522129302,0,0,0,0,1
187742930531273002,0,0,0,0,1
187842930460474102,0,0,0,0,1
187842930463290001,0,1,0,0,0
187942930524637001,0,0,1,0,0
187942930528980602,0,0,0,1,0
188242929013166301,0,0,1,0,0
188242930464850202,0,0,0,1,0
188242930522584702,1,0,0,0,0
188342930526586002,0,0,0,1,0
188442930457576502,0,0,1,0,0
188442930534496402,1,0,0,0,0
188642929800356701,0,0,1,0,0
188742928316187402,0,0,1,0,0
188742930515997302,0,0,1,0,0
189142930445491702,0,1,0,0,0
189242928087944401,0,0,0,1,0
189442930529519802,0,0,1,0,0
189442930532402802,0,0,1,0,0
189542930532566802,0,0,1,0,0
189742927986105002,0,0,1,0,0
189742930517890202,1,0,0,0,0
189942930526846502,1,0,0,0,0
191142930477001502,0,0,1,0,0
191242928823204201,0,0,1,0,0
191342930457253501,0,0,1,0,0
191342930516577602,0,0,1,0,0
191342930525032501,0,0,0,1,0
191342930539983202,1,0,0,0,0
191342930541755801,0,0,0,1,0
191442930462855702,0,0,1,0,0
191442930542916701,0,1,0,0,0
191942930462739701,0,0,0,1,0
191942930517330601,0,0,0,1,0
192042930472522002,0,0,0,1,0
192442930528707601,0,0,0,0,1
192542930545880701,0,0,1,0,0
192642930462426001,0,0,0,0,1
192642930466614901,0,0,0,1,0
192642930517070502,0,0,0,0,1
193142928888081701,0,0,0,1,0
193142930516186502,0,0,0,1,0
193242929947863901,0,0,0,0,1
193242930529969302,0,0,1,0,0
193442930518696401,0,0,0,1,0
193842928176142301,0,0,0,1,0
193842930534095702,0,0,0,1,0
193942930458399401,0,0,1,0,0
194042929309310102,0,0,0,1,0
194242929166198701,1,0,0,0,0
194242930531402601,0,0,1,0,0
194342930525935501,0,1,0,0,0
194542930544892701,0,0,1,0,0
194642930461157702,0,0,0,0,1
194642930462519702,0,0,1,0,0
194642930545150301,1,0,0,0,0
194642930546396201,0,0,1,0,0
194742930533156002,0,0,1,0,0
194742930548711401,0,0,0,0,1
194842930528510301,0,0,0,1,0
194842930532490002,0,0,1,0,0
195142930450872301,0,0,0,0,1
195142930540612502,1,0,0,0,0
195342928779164901,0,0,0,0,1
195442930454031802,0,0,0,1,0
195742929321180801,0,0,1,0,0
195742929476628902,1,0,0,0,0
195742930478077902,0,0,0,0,1
195942930456866702,0,0,1,0,0
195942930473561901,0,0,0,1,0
195942930532109202,0,0,0,1,0
196042930540599302,1,0,0,0,0
196242930528428102,0,0,0,1,0
196242930528957301,0,0,1,0,0
196442930527100201,0,0,1,0,0
196542930536473202,1,0,0,0,0
196642930516978601,0,0,0,1,0
196842930540591201,1,0,0,0,0
196942929885937002,0,0,1,0,0
197142928135571602,0,0,1,0,0
197142930526756002,0,0,0,1,0
197142930529403302,0,1,0,0,0
