BDAP,Accertamento in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Accertamento in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Accertamento in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Accertamento in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Accertamento in CC ENTRATE EXTRATRIBUTARIE,Accertamento in CC ENTRATE TRIBUTARIE,Riscossione in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CC ENTRATE EXTRATRIBUTARIE,Riscossione in CC ENTRATE TRIBUTARIE,Riscossione in CR ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CR ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CR ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CR ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CR ENTRATE EXTRATRIBUTARIE,Riscossione in CR ENTRATE TRIBUTARIE
982642930544558602,193.37844611528823,250.6265664160401,213.0325814536341,1695.62656641604,319.140350877193,100.22556390977444,175.01002506265664,0.0,0.0,1458.8872180451128,216.1027568922306,28.674185463659146,13.62907268170426,1285.3182957393483,142.81203007518798,226.12781954887217,77.0701754385965,66.84962406015038
983042930460799001,47.7939308398024,64.69066102093625,173.8174547165373,525.8082804046106,179.92307692307693,217.94812985179956,47.35850388143966,0.0,155.8914373088685,496.20489296636083,115.63867325335215,174.81357327687604,2.3106327922841685,56.235474006116206,20.565278757939307,21.91343213361562,60.93530933897907,7.461891319689485
983042930466731102,200.25462962962962,0.0,164.09490740740742,413.087962962963,350.2083333333333,429.5162037037037,179.99305555555554,0.0,81.59027777777777,393.7546296296296,109.24768518518519,214.72222222222223,22.550925925925927,0.0,675.2962962962963,8.81712962962963,249.04861111111111,215.33796296296296
983242930451643002,292.2258064516129,0.0,1420.0698924731182,401.4301075268817,254.05913978494624,453.59139784946234,290.83870967741933,0.0,927.1021505376344,392.0,207.0752688172043,305.63978494623655,1.3870967741935485,0.0,893.8709677419355,8.435483870967742,134.0268817204301,222.91397849462365
983342929259477301,97.978886756238,0.0,91.85476647472808,319.61420345489444,129.6852207293666,332.5668586052463,96.16634676903391,0.0,90.60716570697377,256.94625719769675,103.31861804222649,207.66474728087013,65.78182981445937,44.170185540627,41.25335892514396,61.016634676903394,23.827895073576457,46.21561100447857
983342930459033601,479.7113129020053,52.970109723798714,89.2917139614075,238.2565266742338,86.12637154748391,265.75028376844494,430.522133938706,0.0,88.36019674612183,226.5225122966326,33.04842981460462,126.45554294362466,0.18917896329928113,181.46386681800985,35.19258418463867,12.837684449489217,24.96254256526674,125.70525917517972
983542930453502302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
983642928131153402,84.06773920406435,0.0,62.38272650296359,256.9246401354784,179.72734970364098,350.16426756985607,83.22099915325995,0.0,57.230313293818796,255.14648602878916,87.31583403895004,247.14563928873835,0.43691786621507195,103.24047417442846,89.12277730736663,19.964436917866216,33.47248094834886,146.48518204911093
983842930526950101,114.97809419496167,389.85213581599123,458.2146768893757,520.1905805038335,90.28915662650603,360.2858707557503,111.42825848849945,334.4096385542169,249.5421686746988,405.59802847754656,72.052573932092,198.34392113910187,6.550930996714129,298.7579408543264,100.98028477546549,60.95618838992333,8.894852135815992,133.66922234392115
984142929194564701,79.78798411122145,872.7204568023833,36.045183714001986,116.45009930486594,113.730635551142,602.6827209533267,77.46722939424032,826.2298907646475,0.0,88.87140019860973,57.22864945382324,208.46847070506456,0.0,89.91559086395233,206.3895233366435,6.906405163853028,2.784011916583913,184.6035253227408
